County,City,Name,Type
Island,Clinton,TESLA MODEL Y,Vehicle
Thurston,Olympia,TESLA MODEL 3,Vehicle
Snohomish,Edmonds,NISSAN LEAF,Vehicle
Snohomish,Lynnwood,NISSAN LEAF,Vehicle
Kitsap,Bainbridge Island,AUDI Q5 E,Vehicle
Kitsap,Bainbridge Island,NISSAN LEAF,Vehicle
Yakima,Yakima,RIVIAN R1S,Vehicle
King,Seattle,FIAT 500,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Yakima,Yakima,POLESTAR PS2,Vehicle
Thurston,Tumwater,KIA SORENTO,Vehicle
Snohomish,Lake Stevens,TESLA MODEL 3,Vehicle
Snohomish,Monroe,TOYOTA RAV4 PRIME (PHEV),Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Kitsap,Bainbridge Island,NISSAN LEAF,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Thurston,Lacey,TOYOTA RAV4 PRIME (PHEV),Vehicle
Island,Langley,TESLA MODEL 3,Vehicle
Snohomish,Monroe,AUDI Q5,Vehicle
Snohomish,Mill Creek,TESLA MODEL Y,Vehicle
Thurston,Olympia,FORD FUSION,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Walla Walla,Walla Walla,BMW I3,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
Snohomish,Edmonds,AUDI E-TRON,Vehicle
Yakima,Yakima,AUDI E-TRON,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Snohomish,Bothell,KIA SORENTO,Vehicle
King,Renton,TESLA MODEL 3,Vehicle
King,Kent,KIA NIRO,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Snohomish,Mukilteo,BMW X5,Vehicle
Snohomish,Lynnwood,KIA EV9,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Yakima,Yakima,TOYOTA PRIUS PRIME (PHEV),Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Skagit,Bow,CHEVROLET BOLT EV,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Snohomish,Monroe,AUDI E-TRON,Vehicle
Yakima,Moxee,TESLA MODEL 3,Vehicle
Yakima,Yakima,NISSAN LEAF,Vehicle
Whitman,Pullman,TESLA MODEL 3,Vehicle
Kitsap,Poulsbo,AUDI Q4,Vehicle
Spokane,Spokane,BMW I3,Vehicle
King,Seattle,BMW I3,Vehicle
Kitsap,Port Orchard,TESLA MODEL 3,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Kitsap,Port Orchard,HONDA CLARITY,Vehicle
Chelan,Leavenworth,NISSAN LEAF,Vehicle
Island,Oak Harbor,JEEP WRANGLER,Vehicle
Yakima,Selah,VOLVO XC90,Vehicle
Snohomish,Edmonds,KIA EV6,Vehicle
Snohomish,Snohomish,TESLA MODEL S,Vehicle
Yakima,Yakima,RIVIAN R1S,Vehicle
Kitsap,Poulsbo,VOLKSWAGEN ID.4,Vehicle
Walla Walla,Walla Walla,TESLA MODEL S,Vehicle
King,Seattle,BMW I3,Vehicle
King,Redmond,TESLA MODEL 3,Vehicle
Snohomish,Edmonds,TESLA MODEL 3,Vehicle
Thurston,Olympia,TESLA MODEL Y,Vehicle
King,Kirkland,FIAT 500,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Snohomish,Bothell,TESLA MODEL Y,Vehicle
Thurston,Rochester,FORD C-MAX,Vehicle
Douglas,East Wenatchee,KIA NIRO,Vehicle
Snohomish,Lynnwood,TESLA MODEL 3,Vehicle
Thurston,Olympia,VOLKSWAGEN E-GOLF,Vehicle
Thurston,Lacey,BMW I4,Vehicle
Kitsap,Port Orchard,BMW I3,Vehicle
Yakima,Yakima,KIA SPORTAGE,Vehicle
Kitsap,Bremerton,TESLA MODEL Y,Vehicle
Snohomish,Bothell,HONDA CLARITY,Vehicle
King,Seattle,FIAT 500,Vehicle
Kitsap,Port Orchard,TESLA MODEL S,Vehicle
Thurston,Olympia,TESLA MODEL Y,Vehicle
Snohomish,Everett,FORD FUSION,Vehicle
Snohomish,Lake Stevens,BMW X5,Vehicle
Snohomish,Lynnwood,NISSAN LEAF,Vehicle
Kitsap,Poulsbo,BMW IX,Vehicle
Kitsap,Poulsbo,BMW I3,Vehicle
Kitsap,Bainbridge Island,AUDI Q5 E,Vehicle
Snohomish,Everett,PORSCHE PANAMERA,Vehicle
Yakima,Selah,BMW 740E,Vehicle
Snohomish,Edmonds,CHEVROLET BOLT EV,Vehicle
Kittitas,Ellensburg,TESLA MODEL Y,Vehicle
Snohomish,Bothell,FIAT 500,Vehicle
Snohomish,Snohomish,TESLA MODEL S,Vehicle
Kitsap,Poulsbo,FORD F-150,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Spokane,Spokane,FIAT 500,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
Snohomish,Everett,TESLA MODEL S,Vehicle
Stevens,Evans,SUBARU SOLTERRA,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
King,Seattle,BMW I3,Vehicle
Thurston,Olympia,TESLA MODEL 3,Vehicle
Kitsap,Poulsbo,HYUNDAI IONIQ 5,Vehicle
Snohomish,Bothell,BMW XM,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
Snohomish,Edmonds,KIA EV6,Vehicle
Chelan,Leavenworth,JEEP WRANGLER,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Skagit,Sedro-Woolley,NISSAN LEAF,Vehicle
Skagit,Mount Vernon,TESLA MODEL S,Vehicle
Snohomish,Lake Stevens,VOLVO XC90,Vehicle
Snohomish,Edmonds,TESLA MODEL 3,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Kitsap,Silverdale,TESLA MODEL 3,Vehicle
Snohomish,Lynnwood,TESLA MODEL S,Vehicle
Snohomish,Everett,TESLA MODEL X,Vehicle
Chelan,Wenatchee,CHEVROLET BOLT EV,Vehicle
Thurston,Olympia,KIA NIRO,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Spokane,Spokane,RIVIAN R1T,Vehicle
Grant,Moses Lake,NISSAN LEAF,Vehicle
King,Seattle,KIA NIRO,Vehicle
Spokane,Spokane,CHEVROLET VOLT,Vehicle
Yakima,Yakima,CHEVROLET BOLT EV,Vehicle
Kittitas,Ellensburg,VOLVO XC60,Vehicle
Skagit,La Conner,TOYOTA BZ4X,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
King,Vashon,AUDI A3,Vehicle
Snohomish,Edmonds,NISSAN LEAF,Vehicle
Snohomish,Lynnwood,TESLA MODEL 3,Vehicle
Thurston,Rochester,KIA EV9,Vehicle
Snohomish,Edmonds,TESLA MODEL 3,Vehicle
Thurston,Tenino,KIA SPORTAGE,Vehicle
King,Seattle,BMW I3,Vehicle
Snohomish,Lynnwood,TESLA MODEL Y,Vehicle
King,Duvall,BMW I3,Vehicle
Whitman,Pullman,VOLVO XC60,Vehicle
Island,Langley,JEEP WRANGLER,Vehicle
Thurston,Tumwater,ACURA ZDX,Vehicle
Skagit,Mount Vernon,FORD FOCUS,Vehicle
Thurston,Tumwater,TESLA MODEL S,Vehicle
Thurston,Lacey,BMW 330E,Vehicle
King,Bothell,NISSAN LEAF,Vehicle
Skagit,Mount Vernon,CHEVROLET SPARK,Vehicle
Thurston,Lacey,FORD FUSION,Vehicle
Snohomish,Edmonds,KIA NIRO,Vehicle
Stevens,Kettle Falls,FORD C-MAX,Vehicle
King,Redmond,TESLA MODEL 3,Vehicle
